id,title,neighborhood,type,price_per_night,price_total_xaf,rating,reviews,occupancy_rate,monthly_revenue,superhost,source,scraped_at
DLA-0348,Appartement entier - Akwa,Akwa,Appartement entier,24500.0,,4.04,87,0.49,360150,True,simulated,2026-06-08T22:46:06.060900
DLA-0349,Chambre privee - Deido,Deido,Chambre privee,10500.0,,4.97,82,0.85,267750,True,simulated,2026-06-08T22:46:06.060909
DLA-0350,Appartement entier - Akwa,Akwa,Appartement entier,39500.0,,4.13,45,0.73,865050,False,simulated,2026-06-08T22:46:06.060919
DLA-0351,Appartement entier - New Bell,New Bell,Appartement entier,9500.0,,3.92,108,0.61,173850,False,simulated,2026-06-08T22:46:06.060929
DLA-0352,Chambre privee - Bali,Bali,Chambre privee,45000.0,,4.54,142,0.73,985500,False,simulated,2026-06-08T22:46:06.060939
DLA-0353,Appartement entier - Akwa,Akwa,Appartement entier,21000.0,,4.79,21,0.46,289800,False,simulated,2026-06-08T22:46:06.060949
DLA-0354,Chambre privee - Makepe,Makepe,Chambre privee,24000.0,,3.87,47,0.49,352800,False,simulated,2026-06-08T22:46:06.060959
DLA-0355,Appartement entier - Bali,Bali,Appartement entier,48000.0,,4.09,142,0.83,1195200,False,simulated,2026-06-08T22:46:06.060969
DLA-0356,Villa - Bonanjo,Bonanjo,Villa,36500.0,,3.84,7,0.65,711750,True,simulated,2026-06-08T22:46:06.060981
DLA-0357,Chambre privee - Deido,Deido,Chambre privee,18500.0,,4.59,153,0.84,466200,False,simulated,2026-06-08T22:46:06.060990
DLA-0358,Villa - Bonanjo,Bonanjo,Villa,37500.0,,4.76,131,0.48,540000,True,simulated,2026-06-08T22:46:06.060999
DLA-0359,Studio - Bonapriso,Bonapriso,Studio,34000.0,,4.29,111,0.47,479400,False,simulated,2026-06-08T22:46:06.061010
DLA-0360,Chambre privee - New Bell,New Bell,Chambre privee,10000.0,,4.67,199,0.71,213000,False,simulated,2026-06-08T22:46:06.061019
DLA-0361,Chambre privee - Logbessou,Logbessou,Chambre privee,20500.0,,4.9,115,0.79,485850,True,simulated,2026-06-08T22:46:06.061029
DLA-0362,Appartement entier - Deido,Deido,Appartement entier,20500.0,,3.86,22,0.74,455100,True,simulated,2026-06-08T22:46:06.061039
DLA-0363,Villa - Makepe,Makepe,Villa,28000.0,,4.84,178,0.49,411600,False,simulated,2026-06-08T22:46:06.061048
DLA-0364,Chambre privee - Makepe,Makepe,Chambre privee,18000.0,,4.68,25,0.46,248400,False,simulated,2026-06-08T22:46:06.061059
DLA-0365,Appartement entier - Bonanjo,Bonanjo,Appartement entier,48000.0,,4.56,56,0.53,763200,True,simulated,2026-06-08T22:46:06.061072
DLA-0366,Appartement entier - Bali,Bali,Appartement entier,36000.0,,4.72,29,0.53,572400,False,simulated,2026-06-08T22:46:06.061085
DLA-0367,Villa - Makepe,Makepe,Villa,17500.0,,3.94,136,0.46,241500,True,simulated,2026-06-08T22:46:06.061094
